question,reponse,categorie,langue,dialecte_tunisien
Comment réserver un rendez-vous médical?,Pour réserver un rendez-vous médical en Tunisie vous pouvez appeler directement la clinique ou utiliser des applications comme Dabadoc ou TuniDoc.,sante,fr,non
Kifech nحجز rendez-vous عند الطبيب?,تنجم تحجز rendez-vous من خلال التلفون ولا استعمل applications كيما Dabadoc ولا TuniDoc.,sante,tn,oui
What are the best hospitals in Tunis?,The best hospitals in Tunis include Clinique La Soukra Clinique Internationale Hannibal and Clinique Taoufik.,sante,en,non
Chnowa l meilleurs hôpitaux fi Tunis?,أحسن hôpitaux في تونس هوما Clinique La Soukra و Clinique Internationale Hannibal و Clinique Taoufik.,sante,tn,oui
Comment obtenir un passeport en Tunisie?,Pour obtenir un passeport vous devez vous rendre à la mairie avec votre CIN une photo d'identité et payer les frais de timbre fiscal.,administration,fr,non
Kifech n3amel passeport fi Tounes?,لازمك تمشي لل mairie معاك CIN و photo d'identité و تخلص frais de timbre fiscal.,administration,tn,oui
Where can I pay my STEG bill?,You can pay your STEG bill at post offices STEG agencies or online through their website or mobile app.,administration,en,non
Win njjem nخلص facture STEG?,تنجم تخلص facture STEG في la poste ولا fi agence STEG ولا en ligne من خلال leur site web.,administration,tn,oui
Quels sont les documents nécessaires pour créer une entreprise?,Pour créer une entreprise en Tunisie vous aurez besoin d'une CIN un justificatif de domicile le statut juridique et l'inscription au registre de commerce.,economie,fr,non
Chnowa les documents eli lazmin bech n3amel entreprise?,Lazem CIN justificatif de domicile statut juridique w inscription fi registre de commerce.,economie,tn,oui
How much does it cost to start a business in Tunisia?,The cost varies but typically you need around 1000-3000 TND for registration fees legal documents and initial administrative costs.,economie,en,non
B9adech yekallef bech n7ell entreprise fi Tounes?,Yekallef environ 1000-3000 TND pour les frais d'enregistrement w documents juridiques w frais administratifs.,economie,tn,oui
Comment prendre le métro à Tunis?,Le métro de Tunis fonctionne de 5h30 à 23h vous pouvez acheter des tickets aux guichets ou utiliser une carte rechargeable.,transport,fr,non
Kifech nركب métro fi Tounes?,Le métro يخدم من 5h30 حتى 23h تنجم تشري ticket من le guichet ولا تستعمل carte rechargeable.,transport,tn,oui
What is the price of metro tickets in Tunis?,Metro tickets in Tunis cost around 0.5 TND for a single journey and you can also buy daily or weekly passes.,transport,en,non
B9adech ticket mta3 le métro fi Tounes?,Ticket mta3 le métro يكلف environ 0.5 TND pour un trajet و تنجم تشري cartes يومية ولا أسبوعية.,transport,tn,oui
Où puis-je trouver des locations d'appartements à Tunis?,Vous pouvez trouver des locations sur des sites comme Tayara.tn Mubawab ou via des agences immobilières.,immobilier,fr,non
Win nl9a des appartements للكراء في تونس?,تلقى appartements pour la location في sites كيما Tayara.tn و Mubawab ولا عند les agences immobilières.,immobilier,tn,oui
What is the average rent in Tunis?,The average rent in Tunis varies from 600 TND for a studio to 2000+ TND for a 3-bedroom apartment depending on the location.,immobilier,en,non
B9adech معدل الكراء في تونس?,معدل الكراء في تونس يبدا من 600 TND للستوديو و يوصل ل 2000+ TND للشقة 3 بيبان حسب المنطقة.,immobilier,tn,oui
Comment inscrire mon enfant à l'école primaire?,Pour inscrire votre enfant à l'école primaire vous devez présenter son acte de naissance votre CIN et un certificat de résidence.,education,fr,non
Kifech n7ott waldi fil école primaire?,لازمك عقد ولادتو و CIN mtè3ek و certificat de résidence باش ت9دم للتسجيل.,education,tn,oui
What are the university requirements in Tunisia?,To enter university in Tunisia you need your baccalaureate degree and must register through the orientation platform during the specified period.,education,en,non
Chnowa les conditions للدخول للجامعة في تونس?,لازمك البكالوريا و تسجل من خلال plateforme d'orientation في الفترة المحددة.,education,tn,oui
Quelles sont les spécialités médicales disponibles en Tunisie?,Les spécialités incluent cardiologie dermatologie pédiatrie gynécologie orthopédie neurologie et bien d'autres.,sante,fr,non
Chnowa les spécialités médicales الموجودة في تونس?,في cardiologie dermatologie pédiatrie gynécologie orthopédie neurologie وبرشة أخرين.,sante,tn,oui
How can I get health insurance in Tunisia?,You can get health insurance through CNAM for public coverage or through private insurance companies like STAR GAT or AMI.,sante,en,non
Kifech n3amel assurance santé في تونس?,تنجم تعمل assurance من خلال CNAM للتغطية العمومية ولا من خلال شركات خاصة كيما STAR و GAT و AMI.,sante,tn,oui
Comment payer mes impôts en ligne en Tunisie?,Vous pouvez payer vos impôts en ligne via le site web de la Direction Générale des Impôts en créant un compte et en suivant les instructions.,administration,fr,non
Kifech nخلص les impôts en ligne?,تنجم تخلص impôts en ligne من خلال موقع Direction Générale des Impôts بعد ما تعمل compte و تتبع les instructions.,administration,tn,oui
Where is the nearest post office in Sfax?,There are several post offices in Sfax including the main post office at Avenue Habib Bourguiba and branches in Sakiet Ezzit and Merkez Sfax.,administration,en,non
Win a9rab poste في صفاقس?,فما برشة bureaux de poste في صفاقس منهم le bureau principal في Avenue Habib Bourguiba و فروع في ساقية الزيت و مركز صفاقس.,administration,tn,oui
Quel est le salaire minimum en Tunisie?,Le SMIG en Tunisie est d'environ 430 TND pour 48 heures par semaine dans le secteur non-agricole.,economie,fr,non
9adech le SMIG في تونس?,Le SMIG في تونس حوالي 430 TND ل 48 ساعة في الأسبوع في القطاع الغير فلاحي.,economie,tn,oui
What banks operate in Tunisia?,Major banks in Tunisia include STB BIAT BNA Amen Bank Attijari Bank BH Bank and UIB among others.,economie,en,non
Chnowa les banques الموجودة في تونس?,من les banques الكبار في تونس STB و BIAT و BNA و Amen Bank و Attijari Bank و BH Bank و UIB وأخرين.,economie,tn,oui
Comment acheter un billet de train en Tunisie?,Vous pouvez acheter vos billets de train aux guichets des gares ou en ligne sur le site de la SNCFT.,transport,fr,non
Kifech nechri billet de train في تونس?,تنجم تشري billets de train من les guichets في المحطات ولا en ligne من موقع SNCFT.,transport,tn,oui
What are the main train routes in Tunisia?,Main routes include Tunis-Sousse Tunis-Sfax Tunis-Gabes and regional connections to suburbs and cities.,transport,en,non
Chnowa أهم خطوط القطار في تونس?,أهم الخطوط تونس-سوسة تونس-صفاقس تونس-قابس و connexions للضواحي و المدن.,transport,tn,oui
Où acheter une voiture d'occasion en Tunisie?,Vous pouvez acheter une voiture d'occasion sur Tayara.tn AutoPlus ou directement chez des concessionnaires.,automobile,fr,non
Win nechri voiture occasion في تونس?,تنجم تشري voiture occasion من Tayara.tn ولا AutoPlus ولا من عند les concessionnaires مباشرة.,automobile,tn,oui
What documents do I need to buy a car in Tunisia?,You need your CIN proof of address and for used cars the previous registration certificate and technical control certificate.,automobile,en,non
Chnowa les documents إلي لازمين باش نشري كرهبة?,لازمك CIN و justificatif de domicile و للكراهب المستعملة carte grise القديمة و certificat de contrôle technique.,automobile,tn,oui
Comment trouver un emploi en Tunisie?,Vous pouvez chercher un emploi sur des sites comme Tanitjobs Emploi.tn LinkedIn ou via les agences de recrutement.,emploi,fr,non
Kifech nl9a خدمة في تونس?,تنجم تلوج على خدمة في sites كيما Tanitjobs و Emploi.tn و LinkedIn ولا من خلال agences de recrutement.,emploi,tn,oui
What is the unemployment rate in Tunisia?,The unemployment rate in Tunisia fluctuates around 15-16% with higher rates among youth and graduates.,emploi,en,non
9adech نسبة البطالة في تونس?,نسبة البطالة في تونس تقريبا 15-16% و أكثر عند الشباب و خريجي الجامعات.,emploi,tn,oui
Quels sont les sites touristiques à visiter en Tunisie?,Les sites majeurs incluent Carthage Sidi Bou Said le musée du Bardo Dougga Kairouan et les îles de Djerba et Kerkennah.,tourisme,fr,non
Chnowa les sites touristiques إلي لازم نزورهم في تونس?,المواقع الرئيسية قرطاج سيدي بوسعيد متحف باردو دقة القيروان و جزر جربة و قرقنة.,tourisme,tn,oui
How much does a hotel cost in Tunis?,Hotel prices in Tunis range from 50 TND for budget hotels to 300+ TND for luxury hotels per night.,tourisme,en,non
B9adech يكلف فندق في تونس?,أسعار الفنادق في تونس تبدا من 50 TND للفنادق الاقتصادية لـ300+ TND للفنادق الفاخرة في الليلة.,tourisme,tn,oui
Comment obtenir un permis de conduire en Tunisie?,Pour obtenir un permis vous devez vous inscrire dans une auto-école passer l'examen théorique puis pratique.,automobile,fr,non
Kifech n3amel permis de conduire في تونس?,لازمك تسجل في auto-école و تعدي examen théorique و بعد examen pratique.,automobile,tn,oui
What are the traffic rules in Tunisia?,Tunisia follows right-hand traffic speed limits are 50 km/h in cities 90 km/h on open roads and 110 km/h on highways.,automobile,en,non
Chnowa قوانين المرور في تونس?,تونس تتبع circulation على اليمين السرعة المحددة 50 km/h في المدن 90 km/h في الطرق و 110 km/h في الطرق السريعة.,automobile,tn,oui
Où faire du shopping à Tunis?,Vous pouvez faire du shopping au souk de la Médina à l'Avenue Habib Bourguiba ou dans les centres commerciaux comme Tunisia Mall.,shopping,fr,non
Win n9dar n3amel shopping في تونس?,تنجم تعمل shopping في سوق المدينة في Avenue Habib Bourguiba ولا في centres commerciaux كيما Tunisia Mall.,shopping,tn,oui
What are popular Tunisian dishes?,Popular dishes include couscous brik lablabi ojja makroudh and bambalouni among many others.,culture,en,non
Chnowa les plats التونسية المشهورة?,من الأطباق المشهورة الكسكسي البريك اللبلابي العجة المقروض و البمبلوني وبرشة أخرين.,culture,tn,oui
Comment obtenir une carte SIM en Tunisie?,Vous pouvez acheter une carte SIM prépayée des opérateurs Ooredoo Orange ou TT dans leurs boutiques avec votre passeport ou CIN.,telecommunication,fr,non
Kifech nechri carte SIM في تونس?,تنجم تشري carte SIM prépayée من Ooredoo و Orange و TT من محلاتهم معاك passeport ولا CIN.,telecommunication,tn,oui
What is the internet speed in Tunisia?,Internet speeds in Tunisia vary from 4-20 Mbps for ADSL to 100+ Mbps for fiber optic connections depending on the provider and location.,telecommunication,en,non
9adech vitesse internet في تونس?,سرعة internet في تونس من 4-20 Mbps للـADSL لـ100+ Mbps للـfibre optique حسب المزود و المنطقة.,telecommunication,tn,oui
Quels festivals ont lieu en Tunisie?,Les festivals majeurs incluent le Festival de Carthage le Festival d'El Jem et le Festival du Sahara à Douz.,culture,fr,non
Chnowa المهرجانات إلي تصير في تونس?,من المهرجانات الكبيرة مهرجان قرطاج مهرجان الجم و مهرجان الصحراء في دوز.,culture,tn,oui
When is the best time to visit Tunisia?,The best time to visit Tunisia is during spring March-May and fall September-November when the weather is pleasant.,tourisme,en,non
Waktesh أحسن وقت باش نزور تونس?,أحسن وقت باش تزور تونس في الربيع مارس-ماي و الخريف سبتمبر-نوفمبر وين الجو يكون مليح.,tourisme,tn,oui
Comment contacter la police en Tunisie?,Le numéro d'urgence de la police en Tunisie est le 197.,urgence,fr,non
Kifech nتصل بالبوليس في تونس?,رقم الطوارئ للبوليس في تونس هو 197.,urgence,tn,oui
What is the emergency number for ambulance?,The emergency ambulance number in Tunisia is 190.,urgence,en,non
Chnowa رقم الإسعاف?,رقم الإسعاف في تونس هو 190.,urgence,tn,oui
Où puis-je échanger des devises en Tunisie?,Vous pouvez échanger des devises dans les banques les bureaux de change agréés et certains hôtels.,economie,fr,non
Win n9dar nbaddel devise في تونس?,تنجم تبدل devise في البنوك و bureaux de change agréés و بعض الفنادق.,economie,tn,oui
Can I use credit cards in Tunisia?,Credit cards are widely accepted in hotels restaurants and shops in major cities but cash is preferred in rural areas.,economie,en,non
N9dar nesta3mel cartes de crédit في تونس?,Cartes de crédit مقبولة برشة في الفنادق و المطاعم و المحلات في المدن الكبيرة أما في المناطق الريفية الكاش أفضل.,economie,tn,oui
Quel temps fait-il en Tunisie en été?,En été les températures en Tunisie peuvent atteindre 35-40°C dans les régions côtières et encore plus dans le sud.,meteo,fr,non
Kifech ykon le temps في تونس في الصيف?,في الصيف الحرارة في تونس تنجم توصل لـ35-40°C في المناطق الساحلية و أكثر في الجنوب.,meteo,tn,oui
Does it rain in Tunisia?,Tunisia experiences most rainfall during winter months November-March while summers are generally dry.,meteo,en,non
Tمطر في تونس?,تونس تعرف أكثر أمطار في أشهر الشتاء نوفمبر-مارس و الصيف عادة جاف.,meteo,tn,oui
Comment rejoindre l'aéroport de Tunis-Carthage?,Vous pouvez prendre un taxi un bus de la ligne TUT ou utiliser un service de VTC.,transport,fr,non
Kifech noussol لمطار تونس قرطاج?,تنجم تاخو taxi ولا bus ligne TUT ولا تستعمل service de VTC.,transport,tn,oui
What airlines fly to Tunisia?,Major airlines include Tunisair Turkish Airlines Air France Lufthansa and low-cost carriers like Transavia and Nouvelair.,transport,en,non
Chnowa شركات الطيران إلي تطير لتونس?,من الشركات الكبيرة Tunisair Turkish Airlines Air France Lufthansa و شركات low-cost كيما Transavia و Nouvelair.,transport,tn,oui
Quelles universités sont les meilleures en Tunisie?,Les universités réputées incluent l'Université de Tunis El Manar l'ESPRIT Polytechnique et l'Institut Préparatoire aux Études d'Ingénieurs.,education,fr,non
Chnowa أحسن جامعات في تونس?,من الجامعات المعروفة Université de Tunis El Manar و ESPRIT و Polytechnique و Institut Préparatoire.,education,tn,oui
How much are university fees in Tunisia?,Public universities charge minimal fees around 200-500 TND per year while private institutions can cost 3000-8000 TND or more.,education,en,non
B9adech frais universitaires في تونس?,الجامعات العمومية frais قليلة حوالي 200-500 TND في السنة و الخاصة تنجم تكلف 3000-8000 TND ولا أكثر.,education,tn,oui
Comment trouver un logement étudiant?,Vous pouvez chercher sur les groupes Facebook universitaires les sites comme Mubawab ou contacter les foyers universitaires.,education,fr,non
Kifech nl9a سكن طلابي?,تنجم تلوج في groupes Facebook universitaires و sites كيما Mubawab ولا تتصل بالمبيتات الجامعية.,education,tn,oui
Are there scholarships available in Tunisia?,Yes Tunisia offers scholarships through the Ministry of Higher Education and some private organizations and international programs.,education,en,non
Famma bourses d'études في تونس?,نعم تونس تقدم bourses من خلال وزارة التعليم العالي و بعض المنظمات الخاصة و البرامج الدولية.,education,tn,oui
Où puis-je pratiquer du sport à Tunis?,Vous pouvez vous inscrire dans des salles de sport comme Fitness Zone Moving ou utiliser les espaces publics et clubs sportifs.,sport,fr,non
Win n9dar n3amel sport في تونس?,تنجم تسجل في salles de sport كيما Fitness Zone و Moving ولا تستعمل الفضاءات العمومية و النوادي الرياضية.,sport,tn,oui
What sports are popular in Tunisia?,Popular sports include football handball basketball volleyball and individual sports like tennis and athletics.,sport,en,non
Chnowa الرياضات المشهورة في تونس?,الرياضات المشهورة كرة القدم كرة اليد كرة السلة الكرة الطائرة و رياضات فردية كيما التنس و ألعاب القوى.,sport,tn,oui
Comment obtenir un certificat de naissance?,Rendez-vous à la municipalité de votre lieu de naissance avec votre CIN pour obtenir une copie de votre acte de naissance.,administration,fr,non
Kifech n3amel acte de naissance?,امشي للبلدية متاع بلاصة ولادتك معاك CIN باش تاخو copie من acte de naissance mtè3ek.,administration,tn,oui
How do I renew my ID card in Tunisia?,Visit your local municipality with your old CIN two photos and the required fees to renew your national ID card.,administration,en,non
Kifech njaddad CIN في تونس?,زور البلدية المحلية معاك CIN القديمة و زوز photos و frais المطلوبة باش تجدد CIN.,administration,tn,oui