question,reponse,categorie,langue,dialecte_tunisien,question_length,reponse_length,question_words,reponse_words,question_clean,reponse_clean
Comment réserver un rendez-vous médical?,Pour réserver un rendez-vous médical en Tunisie vous pouvez appeler directement la clinique ou utiliser des applications comme Dabadoc ou TuniDoc.,sante,fr,non,40,146,5,21,Comment réserver un rendez-vous médical?,Pour réserver un rendez-vous médical en Tunisie vous pouvez appeler directement la clinique ou utiliser des applications comme Dabadoc ou TuniDoc.
Kifech nحجز rendez-vous عند الطبيب?,تنجم تحجز rendez-vous من خلال التلفون ولا استعمل applications كيما Dabadoc ولا TuniDoc.,sante,tn,oui,35,87,5,13,Kifech nحجز rendez-vous عند الطبيب?,تنجم تحجز rendez-vous من خلال التلفون ولا استعمل applications كيما Dabadoc ولا TuniDoc.
What are the best hospitals in Tunis?,The best hospitals in Tunis include Clinique La Soukra Clinique Internationale Hannibal and Clinique Taoufik.,sante,en,non,37,109,7,15,What are the best hospitals in Tunis?,The best hospitals in Tunis include Clinique La Soukra Clinique Internationale Hannibal and Clinique Taoufik.
Chnowa l meilleurs hôpitaux fi Tunis?,أحسن hôpitaux في تونس هوما Clinique La Soukra و Clinique Internationale Hannibal و Clinique Taoufik.,sante,tn,oui,37,100,6,15,Chnowa l meilleurs hôpitaux fi Tunis?,أحسن hôpitaux في تونس هوما Clinique La Soukra و Clinique Internationale Hannibal و Clinique Taoufik.
Comment obtenir un passeport en Tunisie?,Pour obtenir un passeport vous devez vous rendre à la mairie avec votre CIN une photo d'identité et payer les frais de timbre fiscal.,administration,fr,non,40,133,6,24,Comment obtenir un passeport en Tunisie?,Pour obtenir un passeport vous devez vous rendre à la mairie avec votre CIN une photo d'identité et payer les frais de timbre fiscal.
Kifech n3amel passeport fi Tounes?,لازمك تمشي لل mairie معاك CIN و photo d'identité و تخلص frais de timbre fiscal.,administration,tn,oui,34,79,5,15,Kifech n3amel passeport fi Tounes?,لازمك تمشي لل mairie معاك CIN و photo d'identité و تخلص frais de timbre fiscal.
Where can I pay my STEG bill?,You can pay your STEG bill at post offices STEG agencies or online through their website or mobile app.,administration,en,non,29,103,7,19,Where can I pay my STEG bill?,You can pay your STEG bill at post offices STEG agencies or online through their website or mobile app.
Win njjem nخلص facture STEG?,تنجم تخلص facture STEG في la poste ولا fi agence STEG ولا en ligne من خلال leur site web.,administration,tn,oui,28,89,5,19,Win njjem nخلص facture STEG?,تنجم تخلص facture STEG في la poste ولا fi agence STEG ولا en ligne من خلال leur site web.
Quels sont les documents nécessaires pour créer une entreprise?,Pour créer une entreprise en Tunisie vous aurez besoin d'une CIN un justificatif de domicile le statut juridique et l'inscription au registre de commerce.,economie,fr,non,63,154,9,24,Quels sont les documents nécessaires pour créer une entreprise?,Pour créer une entreprise en Tunisie vous aurez besoin d'une CIN un justificatif de domicile le statut juridique et l'inscription au registre de commerce.
Chnowa les documents eli lazmin bech n3amel entreprise?,Lazem CIN justificatif de domicile statut juridique w inscription fi registre de commerce.,economie,tn,oui,55,90,8,13,Chnowa les documents eli lazmin bech n3amel entreprise?,Lazem CIN justificatif de domicile statut juridique w inscription fi registre de commerce.
How much does it cost to start a business in Tunisia?,The cost varies but typically you need around 1000-3000 TND for registration fees legal documents and initial administrative costs.,economie,en,non,53,131,11,19,How much does it cost to start a business in Tunisia?,The cost varies but typically you need around 1000-3000 TND for registration fees legal documents and initial administrative costs.
B9adech yekallef bech n7ell entreprise fi Tounes?,Yekallef environ 1000-3000 TND pour les frais d'enregistrement w documents juridiques w frais administratifs.,economie,tn,oui,49,109,7,14,B9adech yekallef bech n7ell entreprise fi Tounes?,Yekallef environ 1000-3000 TND pour les frais d'enregistrement w documents juridiques w frais administratifs.
Comment prendre le métro à Tunis?,Le métro de Tunis fonctionne de 5h30 à 23h vous pouvez acheter des tickets aux guichets ou utiliser une carte rechargeable.,transport,fr,non,33,123,6,21,Comment prendre le métro à Tunis?,Le métro de Tunis fonctionne de 5h30 à 23h vous pouvez acheter des tickets aux guichets ou utiliser une carte rechargeable.
Kifech nركب métro fi Tounes?,Le métro يخدم من 5h30 حتى 23h تنجم تشري ticket من le guichet ولا تستعمل carte rechargeable.,transport,tn,oui,28,91,5,17,Kifech nركب métro fi Tounes?,Le métro يخدم من 5h30 حتى 23h تنجم تشري ticket من le guichet ولا تستعمل carte rechargeable.
What is the price of metro tickets in Tunis?,Metro tickets in Tunis cost around 0.5 TND for a single journey and you can also buy daily or weekly passes.,transport,en,non,44,108,9,21,What is the price of metro tickets in Tunis?,Metro tickets in Tunis cost around 0.5 TND for a single journey and you can also buy daily or weekly passes.
B9adech ticket mta3 le métro fi Tounes?,Ticket mta3 le métro يكلف environ 0.5 TND pour un trajet و تنجم تشري cartes يومية ولا أسبوعية.,transport,tn,oui,39,94,7,18,B9adech ticket mta3 le métro fi Tounes?,Ticket mta3 le métro يكلف environ 0.5 TND pour un trajet و تنجم تشري cartes يومية ولا أسبوعية.
Où puis-je trouver des locations d'appartements à Tunis?,Vous pouvez trouver des locations sur des sites comme Tayara.tn Mubawab ou via des agences immobilières.,immobilier,fr,non,56,104,8,16,Où puis-je trouver des locations d'appartements à Tunis?,Vous pouvez trouver des locations sur des sites comme Tayara.tn Mubawab ou via des agences immobilières.
Win nl9a des appartements للكراء في تونس?,تلقى appartements pour la location في sites كيما Tayara.tn و Mubawab ولا عند les agences immobilières.,immobilier,tn,oui,41,102,7,16,Win nl9a des appartements للكراء في تونس?,تلقى appartements pour la location في sites كيما Tayara.tn و Mubawab ولا عند les agences immobilières.
What is the average rent in Tunis?,The average rent in Tunis varies from 600 TND for a studio to 2000+ TND for a 3-bedroom apartment depending on the location.,immobilier,en,non,34,124,7,23,What is the average rent in Tunis?,The average rent in Tunis varies from 600 TND for a studio to 2000+ TND for a 3-bedroom apartment depending on the location.
B9adech معدل الكراء في تونس?,معدل الكراء في تونس يبدا من 600 TND للستوديو و يوصل ل 2000+ TND للشقة 3 بيبان حسب المنطقة.,immobilier,tn,oui,28,90,5,19,B9adech معدل الكراء في تونس?,معدل الكراء في تونس يبدا من 600 TND للستوديو و يوصل ل 2000+ TND للشقة 3 بيبان حسب المنطقة.
Comment inscrire mon enfant à l'école primaire?,Pour inscrire votre enfant à l'école primaire vous devez présenter son acte de naissance votre CIN et un certificat de résidence.,education,fr,non,47,129,7,21,Comment inscrire mon enfant à l'école primaire?,Pour inscrire votre enfant à l'école primaire vous devez présenter son acte de naissance votre CIN et un certificat de résidence.
Kifech n7ott waldi fil école primaire?,لازمك عقد ولادتو و CIN mtè3ek و certificat de résidence باش ت9دم للتسجيل.,education,tn,oui,38,73,6,13,Kifech n7ott waldi fil école primaire?,لازمك عقد ولادتو و CIN mtè3ek و certificat de résidence باش ت9دم للتسجيل.
What are the university requirements in Tunisia?,To enter university in Tunisia you need your baccalaureate degree and must register through the orientation platform during the specified period.,education,en,non,48,145,7,21,What are the university requirements in Tunisia?,To enter university in Tunisia you need your baccalaureate degree and must register through the orientation platform during the specified period.
Chnowa les conditions للدخول للجامعة في تونس?,لازمك البكالوريا و تسجل من خلال plateforme d'orientation في الفترة المحددة.,education,tn,oui,45,75,7,11,Chnowa les conditions للدخول للجامعة في تونس?,لازمك البكالوريا و تسجل من خلال plateforme d'orientation في الفترة المحددة.
Quelles sont les spécialités médicales disponibles en Tunisie?,Les spécialités incluent cardiologie dermatologie pédiatrie gynécologie orthopédie neurologie et bien d'autres.,sante,fr,non,62,111,8,12,Quelles sont les spécialités médicales disponibles en Tunisie?,Les spécialités incluent cardiologie dermatologie pédiatrie gynécologie orthopédie neurologie et bien d'autres.
Chnowa les spécialités médicales الموجودة في تونس?,في cardiologie dermatologie pédiatrie gynécologie orthopédie neurologie وبرشة أخرين.,sante,tn,oui,50,84,7,9,Chnowa les spécialités médicales الموجودة في تونس?,في cardiologie dermatologie pédiatrie gynécologie orthopédie neurologie وبرشة أخرين.
How can I get health insurance in Tunisia?,You can get health insurance through CNAM for public coverage or through private insurance companies like STAR GAT or AMI.,sante,en,non,42,122,8,20,How can I get health insurance in Tunisia?,You can get health insurance through CNAM for public coverage or through private insurance companies like STAR GAT or AMI.
Kifech n3amel assurance santé في تونس?,تنجم تعمل assurance من خلال CNAM للتغطية العمومية ولا من خلال شركات خاصة كيما STAR و GAT و AMI.,sante,tn,oui,38,95,6,19,Kifech n3amel assurance santé في تونس?,تنجم تعمل assurance من خلال CNAM للتغطية العمومية ولا من خلال شركات خاصة كيما STAR و GAT و AMI.
Comment payer mes impôts en ligne en Tunisie?,Vous pouvez payer vos impôts en ligne via le site web de la Direction Générale des Impôts en créant un compte et en suivant les instructions.,administration,fr,non,45,141,8,26,Comment payer mes impôts en ligne en Tunisie?,Vous pouvez payer vos impôts en ligne via le site web de la Direction Générale des Impôts en créant un compte et en suivant les instructions.
Kifech nخلص les impôts en ligne?,تنجم تخلص impôts en ligne من خلال موقع Direction Générale des Impôts بعد ما تعمل compte و تتبع les instructions.,administration,tn,oui,32,112,6,20,Kifech nخلص les impôts en ligne?,تنجم تخلص impôts en ligne من خلال موقع Direction Générale des Impôts بعد ما تعمل compte و تتبع les instructions.
Where is the nearest post office in Sfax?,There are several post offices in Sfax including the main post office at Avenue Habib Bourguiba and branches in Sakiet Ezzit and Merkez Sfax.,administration,en,non,41,141,8,24,Where is the nearest post office in Sfax?,There are several post offices in Sfax including the main post office at Avenue Habib Bourguiba and branches in Sakiet Ezzit and Merkez Sfax.
Win a9rab poste في صفاقس?,فما برشة bureaux de poste في صفاقس منهم le bureau principal في Avenue Habib Bourguiba و فروع في ساقية الزيت و مركز صفاقس.,administration,tn,oui,25,121,5,23,Win a9rab poste في صفاقس?,فما برشة bureaux de poste في صفاقس منهم le bureau principal في Avenue Habib Bourguiba و فروع في ساقية الزيت و مركز صفاقس.
Quel est le salaire minimum en Tunisie?,Le SMIG en Tunisie est d'environ 430 TND pour 48 heures par semaine dans le secteur non-agricole.,economie,fr,non,39,97,7,17,Quel est le salaire minimum en Tunisie?,Le SMIG en Tunisie est d'environ 430 TND pour 48 heures par semaine dans le secteur non-agricole.
9adech le SMIG في تونس?,Le SMIG في تونس حوالي 430 TND ل 48 ساعة في الأسبوع في القطاع الغير فلاحي.,economie,tn,oui,23,73,5,16,9adech le SMIG في تونس?,Le SMIG في تونس حوالي 430 TND ل 48 ساعة في الأسبوع في القطاع الغير فلاحي.
What banks operate in Tunisia?,Major banks in Tunisia include STB BIAT BNA Amen Bank Attijari Bank BH Bank and UIB among others.,economie,en,non,30,97,5,18,What banks operate in Tunisia?,Major banks in Tunisia include STB BIAT BNA Amen Bank Attijari Bank BH Bank and UIB among others.
Chnowa les banques الموجودة في تونس?,من les banques الكبار في تونس STB و BIAT و BNA و Amen Bank و Attijari Bank و BH Bank و UIB وأخرين.,economie,tn,oui,36,98,6,23,Chnowa les banques الموجودة في تونس?,من les banques الكبار في تونس STB و BIAT و BNA و Amen Bank و Attijari Bank و BH Bank و UIB وأخرين.
Comment acheter un billet de train en Tunisie?,Vous pouvez acheter vos billets de train aux guichets des gares ou en ligne sur le site de la SNCFT.,transport,fr,non,46,100,8,20,Comment acheter un billet de train en Tunisie?,Vous pouvez acheter vos billets de train aux guichets des gares ou en ligne sur le site de la SNCFT.
Kifech nechri billet de train في تونس?,تنجم تشري billets de train من les guichets في المحطات ولا en ligne من موقع SNCFT.,transport,tn,oui,38,81,7,16,Kifech nechri billet de train في تونس?,تنجم تشري billets de train من les guichets في المحطات ولا en ligne من موقع SNCFT.
What are the main train routes in Tunisia?,Main routes include Tunis-Sousse Tunis-Sfax Tunis-Gabes and regional connections to suburbs and cities.,transport,en,non,42,103,8,13,What are the main train routes in Tunisia?,Main routes include Tunis-Sousse Tunis-Sfax Tunis-Gabes and regional connections to suburbs and cities.
Chnowa أهم خطوط القطار في تونس?,أهم الخطوط تونس-سوسة تونس-صفاقس تونس-قابس و connexions للضواحي و المدن.,transport,tn,oui,31,71,6,10,Chnowa أهم خطوط القطار في تونس?,أهم الخطوط تونس-سوسة تونس-صفاقس تونس-قابس و connexions للضواحي و المدن.
Où acheter une voiture d'occasion en Tunisie?,Vous pouvez acheter une voiture d'occasion sur Tayara.tn AutoPlus ou directement chez des concessionnaires.,automobile,fr,non,45,107,7,14,Où acheter une voiture d'occasion en Tunisie?,Vous pouvez acheter une voiture d'occasion sur Tayara.tn AutoPlus ou directement chez des concessionnaires.
Win nechri voiture occasion في تونس?,تنجم تشري voiture occasion من Tayara.tn ولا AutoPlus ولا من عند les concessionnaires مباشرة.,automobile,tn,oui,36,92,6,14,Win nechri voiture occasion في تونس?,تنجم تشري voiture occasion من Tayara.tn ولا AutoPlus ولا من عند les concessionnaires مباشرة.
What documents do I need to buy a car in Tunisia?,You need your CIN proof of address and for used cars the previous registration certificate and technical control certificate.,automobile,en,non,49,125,11,19,What documents do I need to buy a car in Tunisia?,You need your CIN proof of address and for used cars the previous registration certificate and technical control certificate.
Chnowa les documents إلي لازمين باش نشري كرهبة?,لازمك CIN و justificatif de domicile و للكراهب المستعملة carte grise القديمة و certificat de contrôle technique.,automobile,tn,oui,47,112,8,17,Chnowa les documents إلي لازمين باش نشري كرهبة?,لازمك CIN و justificatif de domicile و للكراهب المستعملة carte grise القديمة و certificat de contrôle technique.
Comment trouver un emploi en Tunisie?,Vous pouvez chercher un emploi sur des sites comme Tanitjobs Emploi.tn LinkedIn ou via les agences de recrutement.,emploi,fr,non,37,114,6,18,Comment trouver un emploi en Tunisie?,Vous pouvez chercher un emploi sur des sites comme Tanitjobs Emploi.tn LinkedIn ou via les agences de recrutement.
Kifech nl9a خدمة في تونس?,تنجم تلوج على خدمة في sites كيما Tanitjobs و Emploi.tn و LinkedIn ولا من خلال agences de recrutement.,emploi,tn,oui,25,101,5,18,Kifech nl9a خدمة في تونس?,تنجم تلوج على خدمة في sites كيما Tanitjobs و Emploi.tn و LinkedIn ولا من خلال agences de recrutement.
What is the unemployment rate in Tunisia?,The unemployment rate in Tunisia fluctuates around 15-16% with higher rates among youth and graduates.,emploi,en,non,41,102,7,15,What is the unemployment rate in Tunisia?,The unemployment rate in Tunisia fluctuates around 15-16% with higher rates among youth and graduates.
